x,y
-6.505073689685340887e-02,-7.295677829614644061e-02
-6.675781297169018635e-02,-7.765801161335560143e-02
-6.846488904652683893e-02,-8.235924493056455409e-02
-7.017196512136353315e-02,-8.706047824777349287e-02
-7.187904119620029675e-02,-9.176171156498265369e-02
-7.358611727103694933e-02,-9.646294488219159247e-02
-7.529319334587371293e-02,-1.011641781994007394e-01
-7.700026942071039326e-02,-1.058654115166096921e-01
-7.870734549554714299e-02,-1.105666448338188529e-01
-8.041442157038382332e-02,-1.152678781510277917e-01
-8.212149764522050366e-02,-1.199691114682367304e-01
-8.536985764586478564e-02,-1.224709371385972884e-01
-9.037142774215636831e-02,-1.224709371385972884e-01
-9.537299783844818690e-02,-1.224709371385973022e-01
-1.003745679347398112e-01,-1.224709371385972884e-01
-1.053761380310316298e-01,-1.224709371385972745e-01
-1.103777081273232263e-01,-1.224709371385972884e-01
-1.153792782236148368e-01,-1.224709371385973022e-01
-1.203808483199066415e-01,-1.224709371385972745e-01
-1.249984833592580474e-01,-1.222714998052370355e-01
-1.221225381825922218e-01,-1.181794779615846780e-01
-1.192465930059265072e-01,-1.140874561179325009e-01
-1.163706478292606816e-01,-1.099954342742801294e-01
-1.134947026525949670e-01,-1.059034124306279384e-01
-1.106187574759292802e-01,-1.018113905869757474e-01
-1.077428122992634407e-01,-9.771936874332338985e-02
-1.048668671225977400e-01,-9.362734689967121271e-02
-1.019909219459319144e-01,-8.953532505601885516e-02
-9.911497676926619982e-02,-8.544330321236666415e-02
-9.623903159260037421e-02,-8.135128136871429272e-02
-9.336308641593465962e-02,-7.725925952506211558e-02
-9.048714123926895891e-02,-7.316723768140992457e-02
-8.761119606260311943e-02,-6.907521583775755314e-02
-8.473525088593741872e-02,-6.498319399410536212e-02
-8.185930570927160699e-02,-6.089117215045301845e-02
-7.898336053260589240e-02,-5.679915030680082050e-02
-7.610741535594019169e-02,-5.270712846314864336e-02
-7.323147017927436608e-02,-4.861510661949627887e-02
-7.035552500260866537e-02,-4.452308477584409480e-02
-6.747957982594282589e-02,-4.043106293219172337e-02
-6.460363464927712518e-02,-3.633904108853953235e-02
-6.172768947261128569e-02,-3.224701924488717480e-02
-5.885174429594558498e-02,-2.815499740123499073e-02
-5.597579911927988428e-02,-2.406297555758280665e-02
-5.309985394261405173e-02,-1.997095371393044563e-02
-5.022390876594835102e-02,-1.587893187027826156e-02
-4.734796358928251153e-02,-1.178691002662588840e-02
-4.447201841261680388e-02,-7.694888182973705186e-03
-4.159607323595097828e-02,-3.602866339321343300e-03
-3.872012805928527757e-02,4.891555043308402342e-04
-3.383419848673093616e-02,7.117740598309489847e-04
-2.883262839043949574e-02,7.117740598309579836e-04
-2.383105829414812471e-02,7.117740598309369501e-04
-1.882948819785673633e-02,7.117740598309662235e-04
-1.382791810156580418e-02,7.117740598309579836e-04
-8.826348005274575401e-03,7.117740598309579836e-04
-3.824777908983536569e-03,7.117740598309579836e-04
1.176792187307412274e-03,7.117740598309579836e-04
6.178362283598803906e-03,7.117740598309579836e-04
1.117993237988993901e-02,7.117740598309731624e-04
1.618150247618111923e-02,7.117740598309579836e-04
2.118307257247246944e-02,7.117740598309579836e-04
2.618464266876405905e-02,7.117740598309579836e-04
3.118621276505514558e-02,7.117740598309579836e-04
3.618778286134635702e-02,7.117740598309579836e-04
4.118935295763770377e-02,7.117740598309579836e-04
4.619092305392874520e-02,7.117740598309579836e-04
5.119249315022005031e-02,7.117740598309579836e-04
5.619406324651142481e-02,7.117740598309579836e-04
